Street name,nearest metro station distance(in km),type of road,crime,nearest police chowki,population density,rape,Kidnapping & Abduction_Total,Acid attack,Assault on Women,Sexual Harassment,use of criminal force to women,Stalking,Other Assault on Women,district
MG Road,0.2,major district road,150,0.8,25000,6,12,1,18,25,10,8,15,Central
Brigade Road,0.5,commercial road,120,0.5,28000,4,10,0,15,20,8,6,12,Central
Residency Road,0.3,major district road,110,1.0,22000,3,8,1,12,18,7,5,10,Central
Church Street,0.4,commercial road,90,0.6,26000,2,6,0,10,15,5,4,8,Central
Commercial Street,0.7,commercial road,180,0.3,30000,8,15,2,25,30,12,10,20,East
Infantry Road,0.6,major district road,70,1.2,18000,2,5,0,8,12,4,3,6,Central
Kasturba Road,0.4,major district road,60,0.9,20000,1,4,0,6,10,3,2,5,Central
St. Marks Road,0.5,major district road,80,0.7,21000,3,7,1,9,14,5,4,7,Central
Richmond Road,0.8,major district road,100,1.1,19000,4,9,1,11,16,6,5,9,Central
Hosur Road,1.5,national highway,200,2.0,15000,10,20,3,30,35,15,12,25,South
Electronic City,2.3,IT corridor,50,3.5,12000,1,3,0,5,8,2,1,3,South East
Whitefield Main Road,1.8,IT corridor,70,2.8,13000,2,4,0,7,10,3,2,4,East
Sarjapur Road,1.2,suburban road,40,1.5,14000,1,2,0,4,6,1,1,2,South East
Bellandur Road,1.5,suburban road,60,2.0,15000,2,3,0,6,9,2,1,3,South East
Koramangala 80 Feet Road,0.9,residential road,30,0.7,22000,1,2,0,3,5,1,1,2,South East
Indiranagar 100 Feet Road,0.6,major district road,80,0.5,24000,3,6,1,9,12,4,3,6,East
Jayanagar 4th Block,0.8,residential road,40,0.9,20000,1,2,0,4,6,1,1,2,South
BTM Layout,1.1,residential road,50,1.2,18000,2,3,0,5,7,2,1,3,South
HSR Layout,1.3,residential road,45,1.0,17000,1,2,0,4,6,1,1,2,South
Old Airport Road,0.7,major district road,90,1.1,21000,3,5,1,8,11,3,2,5,Central
Lavelle Road,0.4,commercial road,85,0.6,23000,3,6,1,8,12,4,3,6,Central
Cunningham Road,0.5,major district road,75,0.8,20000,2,4,0,6,9,3,2,4,Central
Race Course Road,0.3,major district road,65,0.7,22000,2,3,0,5,8,2,1,3,Central
Queen's Road,0.6,major district road,55,1.0,19000,1,3,0,4,7,2,1,2,Central
Dickenson Road,0.5,major district road,60,0.9,20000,2,4,0,5,8,2,1,3,Central
Museum Road,0.4,major district road,50,0.7,21000,1,2,0,4,6,1,1,2,Central
Palace Road,0.8,major district road,70,1.2,18000,2,5,0,6,9,3,2,4,Central
Nrupathunga Road,0.7,major district road,80,1.1,19000,3,6,1,7,10,3,2,4,Central
